"BehaviorSpace results (NetLogo 6.3.0)"
"For study-Task1.nlogo"
"NG_values_sens"
"06/21/2023 22:18:18:971 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","awareness","import-independence","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household","neighborhood-blackout-NG","neighborhood-NG-source-preference","share-national-NG-in-neighborhood","share-ally-NG-in-neighborhood","share-other-NG-in-neighborhood","neighborhood-national-NG","neighborhood-grid-NG","neighborhood-ally-NG","neighborhood-blackout-NG","miscomfort-for-environment"
"36","1","1","239","41","0.19000000000000003","[false false false]","[104.87008234638397 100.92229656580044 97.25499535947165]","[80.96575098694943 84.91353676753289 88.5808379738617]","[1.898276331123475 2.575915466616134 2.354793504141437]","[154.1048791942899 145.63439000063167 148.39841453156538]","[0 0 0]","[[0 0 0 60] [0 0 0 72] [0 0 0 74]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[466217 886335 744913]","[0 0 0]","[0 0 0]","[329936 459072 338897]"
"38","1","1","239","41","0.47666666666666674","[false false false]","[106.03761402684482 116.88920225918568 131.24150202789724]","[79.79821930648849 68.94663107414782 54.59433130543615]","[2.543248837093399 1.7715822905827008 2.362951992683991]","[146.04272286966585 155.68855470104958 148.29643342478346]","[0 0 0]","[[0 0 0 91] [0 0 0 80] [0 0 0 91]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1345354 1239802 2348916]","[0 0 0]","[0 0 0]","[531162 622488 707115]"
"39","1","1","239","41","0.3166666666666667","[false false false]","[106.18950825351 108.04498278146637 104.82985399351624]","[79.64632507982333 77.79085055186708 81.00597933981707]","[2.1999088433638394 2.170721340273153 2.211470514339187]","[150.33447279128535 150.69931657991893 150.1899519040935]","[0 0 0]","[[0 0 0 61] [0 0 0 77] [0 0 0 77]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[730246 736827 927500]","[0 0 0]","[0 0 0]","[467890 371358 412456]"
"40","1","1","239","41","0.4766666666666666","[false false false]","[100.2176713481715 109.46857349663189 137.46498492848377]","[85.61816198516159 76.36725983670145 48.37084840484956]","[2.5450591646707132 2.403646731254894 2.01920106102443]","[146.02009377494943 147.78774919264717 152.59332007052797]","[0 0 0]","[[0 0 0 87] [0 0 0 76] [0 0 0 65]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1738635 1004230 1643776]","[0 0 0]","[0 0 0]","[695520 538740 713518]"
"41","1","1","239","41","0.42","[false false false]","[109.88595010168768 103.38970424348092 109.24952360116409]","[75.94988323164564 82.44612908985238 76.5863097321693]","[2.2372168410839506 2.4179023324794753 2.1315069212353253]","[149.86812281978396 147.6095541773399 151.18949681789178]","[0 0 0]","[[0 0 0 73] [0 0 0 85] [0 0 0 75]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1140795 1448518 714281]","[0 0 0]","[0 0 0]","[487814 667968 379998]"
"42","1","1","239","41","0.48","[false false false]","[137.1455524968106 108.1588442138473 106.8675047387459]","[48.690280836522696 77.67698911948595 78.96832859458756]","[2.4608553849140935 2.087693926703466 2.3881731822374785]","[147.07264102190717 151.73715924954 147.98116855536486]","[0 0 0]","[[0 0 0 94] [0 0 0 61] [0 0 0 65]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[2768539 877250 752927]","[0 0 0]","[0 0 0]","[856737 549360 344932]"
"43","1","1","239","41","0.4366666666666667","[false false false]","[134.3616224464453 103.15287691051753 102.77555649426857]","[51.47421088688812 82.68295642281595 83.06027683906476]","[2.149402998019382 2.302084212144689 2.483056401178808]","[150.96579585809107 149.05728068152473 146.79512831859824]","[0 0 0]","[[0 0 0 91] [0 0 0 85] [0 0 0 80]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[2224196 1168785 1491904]","[0 0 0]","[0 0 0]","[664453 477228 659022]"
"44","1","1","239","41","0.5399999999999999","[false false false]","[135.04235438508553 127.51334889041613 109.85599364083836]","[50.79347894824776 58.32248444291729 75.97983969249503]","[1.990527705670868 2.6795220448197257 2.2079671998872983]","[152.9517370124475 144.33930777308677 150.23374333474212]","[0 0 0]","[[0 0 0 88] [0 0 0 70] [0 0 0 79]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[2023514 1571792 1173255]","[0 0 0]","[0 0 0]","[777480 721500 629300]"
"45","1","1","239","41","0.31666666666666665","[false false false]","[114.79109863069625 104.97944700508987 100.44158370429527]","[71.04473470263704 80.85638632824357 85.39424962903797]","[1.73099604237839 2.4369458911559856 2.3715632772604955]","[156.19588280360347 147.37150969388352 148.18879236757715]","[0 0 0]","[[0 0 0 97] [0 0 0 82] [0 0 0 83]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1175846 1058796 761759]","[0 0 0]","[0 0 0]","[498946 415922 307128]"
"46","1","1","239","41","0.5633333333333334","[false false false]","[127.06423779535677 107.02461705890775 136.55378561380093]","[58.771595537976495 78.81121627442563 49.28204771953249]","[2.6537134040350088 2.1825292147061623 2.468870907138105]","[144.66191578289573 150.5517181495063 146.97244699410703]","[0 0 0]","[[0 0 0 77] [0 0 0 92] [0 0 0 84]]","[0 0 0]","[0.9 0.9 0.9]","[0.1 0.1 0.1]","[0 0 0]","[1675658 1213645 2683682]","[0 0 0]","[0 0 0]","[692061 530390 770037]"
